signature;translation;speech part;transcription;synonyms;sentences;groups
addict;"наркоман; заядлый любитель";noun;ˈædɪkt;fiend;Although genuine workaholics are uncommon, many of us are job addicts without realising it.;LANGUAGE COURSES, odd people, work
adherent;"приверженец; адепт, поборник, сторонник";noun;ədˈhɪər(ə)nt;;This eventually led to the official condemnation of Bogomilism by the Orthodox Church and the fleeing of adherents of Bogomilism to the West where they reestablished themselves.;MYSTAGOGY, religion
administer;"управлять; вести; вести дела";verb;;manage;The economy has been badly administered by the present government.;work
adore;обожать;verb;;;Ernest just adores it.;THE CATCHER IN THE RYE (book), самые сложные слова
affectionate;"нежный; любящий";adjective;;tender;She's very affectionate. I mean she's quite affectionate, for a child.;THE CATCHER IN THE RYE (book), traits
affirm;утверждать, торжественно заявлять;verb;;assert;;
affirmation;"1) утверждение, заявление; 2) подтверждение, заверение";noun;;assertion, confirmation, corroboration;;
aggregate;"собирать в одно целое, объединять, соединять; сосредоточивать";verb;ˈægrɪˌgeɪt;;;
agony;"1) мука, мучение, страдание (душевное или физическое); 2) агония, предсмертное состояние";noun;ˈægənɪ;;It was agony to touch a person marked by something so good.;HARRY POTTER AND THE SORCERER'S STONE (book)
aim;"1) цель, намерение, стремление; 2) прицел; 3) мишень";noun;;end, goal, objective, purpose, target;;
air;"1) воздух; атмосфера; 2) вид; внешний вид; выражение лица";noun;;;"He was passing through the alley with the same abstracted air. | It was Blythe, who walked with the air of a rich man, but whose outward appearance was very shabby. | ""Oh, are you a prefect, Percy?"" said one of the twins, with an air of great surprise. | The report of the pistol echoed through the air.";appearance, HARRY POTTER AND THE SORCERER'S STONE (book)
aisle;"проход; пролет; коридор";noun;aɪl;;They're always leaving their goddam bags out in the middle of the aisle.;THE CATCHER IN THE RYE (book)
ajar;приоткрытый;adjective;əˈʤɑː;;A door stood ajar to his left.;HARRY POTTER AND THE SORCERER'S STONE (book)
alas;увы!;interjection;əˈlæs;;Alas, the first thing you ask me, I cannot tell you.;HARRY POTTER AND THE SORCERER'S STONE (book)
alias;вымышленное имя, прозвище, кличка;noun;ˈeɪlɪəs;;C# 2.0 introduced the concept of extern aliases to alleviate this problem.;INFORMATION TECHNOLOGIES
allay;успокаивать, подавлять (страх, волнение, боль);verb;əˈleɪ;quench, relieve;To allay any potential confusion about erasure, you must clearly understand that it is not a language feature.;INFORMATION TECHNOLOGIES
all but;едва не, почти;adverb;;;According to him, we now have identical high streets worldwide, local cultures have been eroded and national identities have all but disappeared.;LANGUAGE COURSES
allegiance;верность, преданность (loyalty and support for a ruler, country, group or belief);noun;əˈliːʤ(ə)n(t)s;loyalty;Soldiers must swear allegiance to the King.;LANGUAGE COURSES, самые сложные слова
alleviate;"облегчать (боль, страдания); смягчать";verb;əˈliːvɪeɪt;facilitate, relieve;C# 2.0 introduced the concept of extern aliases to alleviate this problem.;INFORMATION TECHNOLOGIES
all of a sudden;"вдруг; внезапно; неожиданно";adverb;;;He put down his razor, and all of a sudden jerked his arms up and sort of broke my hold on him. | I was still feeling sort of dizzy or something, and I had a helluva headache all of a sudden.;THE CATCHER IN THE RYE (book)
allow;"1) позволять, разрешать; 2) допускать, предоставлять";verb;;let, permit;The newscaster allowed himself a grin.;
alloy;сплав;noun;ˈælɔɪ;;Brass is an alloy of copper and zinc.;LANGUAGE COURSES, materials
all too;слишком, чересчур (в негативном смысле);adverb;;;All too often nowadays, we hear these black and white opinions about 'globalisation'.;LANGUAGE COURSES
alongside;"неподалёку, поблизости; около, возле, рядом";adverb;;;Most of the staff refused to work alongside the new team.;LANGUAGE COURSES
alter;"(видо)изменять; переделывать; менять";verb;;change, vary;We've had to alter some of our plans.;LANGUAGE COURSES
alternately;"чередуясь, поочерёдно; попеременно";adverb;ɔːlˈtɜːnətlɪ;;The dictionary calls it 'keeping two or more objects in the air at one time by alternately tossing and catching them'.;LANGUAGE COURSES
amalgam;"1) амальгама; 2) сочетание, смесь";noun;əˈmælgəm;;On the surface, it looks like LINQ forms a foreign island in an otherwise imperative language, but in reality it's built out of an amalgam of smaller language features that provide benefits in and of themselves, too.;INFORMATION TECHNOLOGIES
amaze;"изумлять; удивлять; поражать";verb;;astonish;He was amazed when the owls soared down and dropped this large parcel right in front of him.;
amble;идти лёгким шагом (to walk in a slow and relaxed way);verb;;;"""You two've got them, too,"" he added, as Fred and George ambled in, still in their pajamas.";HARRY POTTER AND THE CHAMBER OF SECRETS (book), moving (verbs)
ameliorate;улучшать, улучшаться (to make a bad or unpleasant situation better);verb;əˈmiːlɪ(ə)reɪt;;The plain use of delegates for event-based programming seems promising, but there are a few caveats that require a slightly ameliorated approach.;INFORMATION TECHNOLOGIES
amusement;развлечение, забава;noun;;;amusement park[парк аттракционов];
anger;"гнев, ярость; злость";noun;;fury, rage;;violence
angry;сердитый, гневный, раздраженный;adjective;;cross;So Malfoy, jealous and angry, had gone back to taunting Harry about having no proper family.;traits
annihilate;"уничтожать; истреблять";verb;əˈnaɪəˌleɪt;demolish, destroy, ruin;;battle
annoy;"досаждать, докучать, надоедать; раздражать";verb;;get at, irritate, rile;You can be really annoying at times, you know.;
anorak;теплая куртка с капюшоном;noun;;;;clothes
answer;"отвечать, откликаться; реагировать, возражать";verb;;reply, respond;;
answer smb. back;дерзить, грубить (в ответ) ;phrase;;;Never answer her back.[Никогда не грубите ей.];education, LANGUAGE COURSES, phrasal verbs
anteater;муравьед;noun;;;;animals
anticipate;"1) ожидать; 2) предвидеть, предчувствовать, предвкушать; 3) опережать, забегать вперед, делать раньше времени";verb;;await, expect;;сложные слова
apiece;"поштучно; на каждого";adverb;;;My parents would have about two hemorrhages apiece if I told anything pretty personal about them.;THE CATCHER IN THE RYE (book)
apothecary;"аптекарь; аптека";noun;əˈpɔθəˌkerɪ;;Then they visited the Apothecary, which was fascinating enough to make up for its horrible smell, a mixture of bad eggs and rotted cabbages.;HARRY POTTER AND THE SORCERER'S STONE (book), professions
apparent;явный, очевидный;adjective;;evident, obvious;;сложные слова
appeal;взывать, просить, умолять, упрашивать (о чём-л.);verb;əˈpiːl;;With no work they spend their days begging for alms, appealing to the generosity of passers-by.;LANGUAGE COURSES
appear;появляться, являться;verb;;arise, emerge, spring up;Draco Malfoy didn't go red, but a pink tinge appeared in his pale cheeks.;
appetite;"1) аппетит; 2) охота, склонность к чему-л.";noun;ˈæpɪtaɪt;;"For most of their lives, their personality, self-esteem and status have been defined by work; without it, they lose their appetite for life.";LANGUAGE COURSES, work
apply oneself;приналечь;phrase;;;I wasn't supposed to come back after Christmas vacation on account of I was flunking four subjects and not applying myself and all.;THE CATCHER IN THE RYE (book), самые сложные слова
appointment;свидание, условленная встреча (a formal arrangement to meet or visit someone at a particular time and place);noun;;;I've got an appointment to see Ms Edwards at two o'clock.;LANGUAGE COURSES
apprehensive;испытывающий тревогу, полный страха;adjective;;;"""Clearly,"" said Mr. Malfoy, his pale eyes straying to Mr. and Mrs. Granger, who were watching apprehensively.";fear, HARRY POTTER AND THE CHAMBER OF SECRETS (book)
apron;передник, фартук;noun;ˈeɪpr(ə)n;;She was wearing a flowered apron with a wand sticking out of the pocket.;clothes, HARRY POTTER AND THE CHAMBER OF SECRETS (book)
arise;"1) возникать, появляться; 2) подниматься; вставать";verb;;appear, emerge, spring up;She said not to look at her when she comes in. She just arose from the sack.;
around the corner;not far away, or going to happen (very) soon (на носу);phrase;;;There's a family that lives around the corner from this hotel.;idioms, INFORMATION TECHNOLOGIES
arrest;арестовывать, задерживать;verb;;take into custody;;violence
arrogant;заносчивый, высокомерный, надменный;adjective;ˈærəgənt;conceited, proud, vain;I found him arrogant and rude.;LANGUAGE COURSES, traits
ash;"1) зола, пепел; 2) ясень";noun;;;Cigar ash may be mixed with chalk to make tooth powder. | Irish folklore claims that shadows from an ash tree would damage crops.;plants, REPEATING
assassinate;убивать;verb;;kill, murder, slay;;violence
assemble;"1) collect in one place; 2) get people together";verb;;gather;;
assert;"1) утверждать, заявлять (state categorically); 2) отстаивать, защищать";verb;;affirm;to assert one's rights[отстаивать свои права];
assertion;утверждение, заявление;noun;;affirmation, claim;;
assess;"1) определять сумму (налога, штрафа); 2) облагать налогом, штрафовать; 3) оценивать";verb;;estimate, evaluate, gauge;;самые сложные слова, сложные слова
assume;допускать, предполагать;verb;;;"Ignore managed heap generations for now; we'll assume there's one contiguous block of memory available to comprise the entire managed object heap.";INFORMATION TECHNOLOGIES
astonish;"удивлять; изумлять";verb;;amaze;the price was astonishingly cheap;holidays, LANGUAGE COURSES
asylum;"1) убежище, пристанище, прибежище; 2) приют (благотворительное учреждение для инвалидов, одиноких, психически больных)";noun;əˈsaɪləm;;to grant political asylum[предоставить политическое убежище];LANGUAGE COURSES
atrocity;жестокость, зверство;noun;;brutality, cruelty;;violence
attain;"достигать, добиваться; добираться";verb;;achieve, reach;He leaped with a terrific energy, doubled like a spring, attained speed, and moved with effortless beauty.;
at the same instant;"мгновенно; в то же мгновение";adverb;;;At the same instant, black flames shot up in the doorway leading onward.;HARRY POTTER AND THE SORCERER'S STONE (book)
attic;чердак;noun;;;But all we've got is a lousy old ghoul in the attic and gnomes all over the garden.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
at times;"иногда; временами";adverb;;;You can be really annoying at times, you know.;LANGUAGE COURSES
audible;"слышный, внятный; слышимый";adjective;ˈɔːdəbl;;"""Mum fancies  him,"" said Fred, in a very audible whisper.";HARRY POTTER AND THE CHAMBER OF SECRETS (book)
audience;зрители, публика, аудитория;noun;;;;THE CATCHER IN THE RYE (book)
augment;"1) усиливать; увеличивать, расширять; 2) прибавлять, приращивать; пополнять";verb;ɔːgˈment;;Use primitive wrappers only when you want to augment the value and persist state.;INFORMATION TECHNOLOGIES
au pair;иностранка-помощница по хозяйству;noun;ˌəʋˈpeər;;;LANGUAGE COURSES
authentic;аутентичный, истинный, настоящий, подлинный;adjective;ɔːˈθentɪk;genuine;For example, Indian food in Britain is not the same as an authentic curry from India, but for some, it's more better.;LANGUAGE COURSES, materials
auxiliary;"1) вспомогательный; 2) дополнительный, добавочный; запасной";adjective;ɔːgˈzɪlɪ(ə)rɪ;;Much more can be done, including the creation of a REPL using all the shared functionality exposed in Microsoft.Scripting and auxiliary assemblies.;INFORMATION TECHNOLOGIES
avenge;мстить;verb;;revenge;;violence
avoid;избегать, уклоняться;verb;;dodge, duck, evade, shun;The driver swerved to avoid hitting the dog.;
await;ждать, ожидать;verb;;anticipate, expect;;
awake;не спящий, проснувшийся, бодрствующий;adjective;;;His Aunt Petunia was awake and it was her shrill voice that made the first noise of the day.;
awe;"страх, трепет; благоговение";noun;;dread, fear, fright, horror, terror;;fear, violence
awkward;неуклюжий, неловкий;adjective;;cumbersome;He merely sprang to the side and ran stiffly ahead for several awkward leaps, in carriage and conduct resembling an abashed country swain.;WHITE FANG (book)
ax;"топор, секира; сокращение (ассигнований, бюджета)";noun;;;;
babble;"лепет; бормотание; болтовня (a continuous low or confused sound, especially the sound of several people talking)";noun;;;Owls hooted to one another in a disgruntled sort of way over the babble and the scraping of heavy trunks.;HARRY POTTER AND THE SORCERER'S STONE (book)
back out;"отказаться от участия в (чём-л.); уклониться от (чего-л.) (make a retreat from an earlier commitment or activity)";phrase;;retreat, withdraw;There isn't a reserve Seeker. If I back out, Gryffindor can't play at all.;battle, HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
baffle;"1) озадачивать, ставить в тупик; 2) мешать, препятствовать; 3) изменять течение";verb;;hamper;;самые сложные слова, сложные слова
bald;"лысый; облысевший; безволосый";adjective;;;"He was one of those bald guys that comb all their hair over from the side to cover up the baldness. | Once, Aunt Petunia, tired of Harry coming back from the barbers looking as though he hadn't been at all, had taken a pair of kitchen scissors and cut his hair so short he was almost bald except for his bangs, which she left ""to hide that horrible scar."" | Twelve feet tall, its skin was a dull, granite gray, its great lumpy body like a boulder with its small bald head perched on top like a coconut.";appearance, THE CATCHER IN THE RYE (book)
ban;запрещать;verb;;forbid, prohibit;;
bang;"1) бить, ударять, стукнуть (strike violently); 2) грохнуть, бахнуть; 3) с шумом захлопнуться (о двери)";verb;;slam;Dobby made a funny choking noise and then banged his head frantically against the wall.;sounds, striking (verbs)
bangs;челка;noun;;;"Once, Aunt Petunia, tired of Harry coming back from the barbers looking as though he hadn't been at all, had taken a pair of kitchen scissors and cut his hair so short he was almost bald except for his bangs, which she left ""to hide that horrible scar.""";appearance, HARRY POTTER AND THE SORCERER'S STONE (book)
bar;преграждать (путь), препятствовать (движению);verb;;;But halfway across the entrance hall they found the way upstairs barred by Crabbe and Goyle.;HARRY POTTER AND THE SORCERER'S STONE (book)
barber;парикмахер;noun;;;"Once, Aunt Petunia, tired of Harry coming back from the barbers looking as though he hadn't been at all, had taken a pair of kitchen scissors and cut his hair so short he was almost bald except for his bangs, which she left ""to hide that horrible scar.""";HARRY POTTER AND THE SORCERER'S STONE (book)
bare;голый, нагой, обнажённый;adjective;;naked, nude;;appearance
barge in;вторгаться;phrase;;;All of a sudden the door opened, and old Stradlater barged in, in a big hurry. | There was a shower right between every two rooms in our wing, and about eighty-five times a day old Ackley barged in on me.;phrasal verbs, THE CATCHER IN THE RYE (book), самые сложные слова
bark;"1) лаять; 2) (разг.) рявкать";verb;;;;animals, sounds
bash;"колотить; бить; сильно ударять";verb;;sock;You could see the two teams bashing each other all over the place.;striking (verbs), THE CATCHER IN THE RYE (book)
basically;"в своей основе; по существу, в основном";adverb;ˈbeɪsɪk(ə)lɪ;;Basically, all you need to do is bring some warm clothes and a packed lunch.;LANGUAGE COURSES
bask;греться (на солнце, у огня);verb;;;The Weasley twins and Lee Jordan were tickling the tentacles of a giant squid, which was basking in the warm shallows.;HARRY POTTER AND THE SORCERER'S STONE (book)
bat;"1) летучая мышь; 2) дубина, палка, бита (a club used for hitting a ball in various games) ";noun;;;He handed Harry a small club, a bit like a short baseball bat.;animals, HARRY POTTER AND THE SORCERER'S STONE (book)
battered;"изношенный, обветшалый, потёртый, потрёпанный; мятый";adjective;ˈbætəd;beat-up, frayed, ragged, shabby, worn-out;Ron's set of chess was very old and battered.;HARRY POTTER AND THE SORCERER'S STONE (book)
bawl;"1) кричать, орать во всю глотку; 2) громко плакать";verb;bɔːl;shout;"""Down with the traitor!"", the crowd bawled.[""Долой предателя!"", орала толпа.] | I was so mad, I was practically bawling.";sounds, THE CATCHER IN THE RYE (book), самые сложные слова
be able to meet tight deadlines;уметь выдерживать сжатые сроки;phrase;;;We have never been able to meet tight deadlines, have we?;LANGUAGE COURSES, work
be about;вот-вот собираться сделать что-л. (to be going to do something very soon);phrase;;;Hermione was skimming through all her notes, hoping to come across one of the enchantments they were about to try to break. | It was about the worst thing I could've done, because the minute I started to laugh I thought I was going to vomit.;phrasal verbs
be after;to be looking for someone or something or trying to find or get them;phrase;;;That's where he was going when we saw him - he's after whatever it's guarding!;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
beam;"1) испускать лучи; сиять; 2) лучезарно улыбаться";verb;;glow, shine;Harry looked back at Hagrid, smiling, and saw that Hagrid was positively beaming at him.;HARRY POTTER AND THE SORCERER'S STONE (book), laught and smile, shine
bear;"1) переносить, перевозить, носить; 2) терпеть, вынести, выдерживать, вытерпеть";verb;;carry, endure, make up, put up with, stand;;violence
be around;быть популярным, известным;phrase;;;That song has been around for many years.[Эта песня много лет была популярной.];films, LANGUAGE COURSES, phrasal verbs
beat;"1) ударять, бить, колотить; 2) make a rhythmic sound; 3) move rhythmically; 4) перехитрить";verb;;clobber, drum, outfox, outsmart, outwit, pound, thump;;striking (verbs)
beat around the bush;to delay or avoid talking about something difficult or unpleasant but important;phrase;;;Don't beat around the bush - get to the point!;idioms, LANGUAGE COURSES
beat-up;потрепанный, поношенный;adjective;;battered, frayed, ragged, shabby, worn-out;I moved to Washington after a relationship with a very high-maintenance woman who hated my beat-up old car.;THE CATCHER IN THE RYE (book)
beautiful;"прекрасный; красивый; превосходный";adjective;;bonny, fair, good-looking, gorgeous, handsome, pretty;;appearance
beckon;"подзывать кивком головы; манить, делать знак (рукой, пальцем)";verb;ˈbekən;;Harry hissed at her to be quiet and beckoned them all forward.;HARRY POTTER AND THE SORCERER'S STONE (book)
become operational;"вступать в силу; быть запущенным в эксплуатацию";phrase;;;;holidays, LANGUAGE COURSES
be committed to smth.;быть преданным, приверженным чему-л.;phrase;;;"The staff and physicians at Amarillo Endoscopy Center are committed to providing patients with unsurpassed quality and cost effective services. | ""We are committed to supporting Haiti's economic growth,"" said Stewart Paperin, president of the Soros Economic Development Fund.";idioms, LANGUAGE COURSES, work
be conditioned into smth.;быть приученным к чему-л.;phrase;;;The reason you call them disinformation artists is because you've been conditioned into doing so. | We are being conditioned into thinking that if we do x, then y will happen in terms of relationships. | Women are conditioned into being like door mats too often.;education, LANGUAGE COURSES, work
bedrock; основополагающий, базовый, краеугольный;adjective;;;One bedrock principle of any service policy is the perception of fairness.;INFORMATION TECHNOLOGIES
be far apart;быть на большом расстоянии друг от друга;phrase;;;When you're far apart you rely so heavily on the phone.;LANGUAGE COURSES, relationship
be friends with smb.;быть в дружбе с кем-л.;phrase;;be on friendly terms with smb.;If I ever found out that a friend of mine had lied to me, I know I couldn't be friends with them anymore.;LANGUAGE COURSES, relationship
beg for alms;просить милостыню ;phrase;;;With no work they spend their days begging for alms, appealing to the generosity of passers-by.;LANGUAGE COURSES
behave oneself;вести себя как следует;phrase;;;She insists upon strict discipline throughout the school, and if you take my advice you will do your very best to behave yourselves in her presence.;education, LANGUAGE COURSES
Beijing;Пекин;noun;ˌbeɪˈʤɪŋ;;;geography, LANGUAGE COURSES
be in a hurry;спешить, торопиться;phrase;;hasten, hurry;;moving (verbs)
be in great demand;быть в большом спросе;phrase;;;Project managers, tax analysts, engineers will be in great demand in 2003.[В 2003 г. особенно цениться будут руководители проектов, налоговые аналитики и инженеры.];LANGUAGE COURSES
be in store for smb.;ждать в будущем;phrase;;;A lot of experiences are in store for him.;holidays, LANGUAGE COURSES
belch;"1) рыгать, страдать отрыжкой; 2) извергать, выбрасывать";verb;;erupt;;
beleaguer;осаждать, окружать, оцеплять;verb;;besiege, surround;;battle, сложные слова
beloved;возлюбленный, любимый, желанный;adjective;bɪˈlʌvd;;Pasa looked at him as a mother looks at a beloved but capricious child.;relationship, REPEATING
bend;"1) гнуть(ся), изгибать(ся); 2) наклоняться, нагибаться";verb;;bow, crouch, lean, stoop;A lively and charming girl bent over the gallery railing and smiled down at Goodwin. | Hagrid bent his great, shaggy head over Harry and gave him a very scratchy, whiskery kiss. | Jill and Eustace, now both very hot and very grubby from going along bent almost double under the laurels, panted up to the wall.;
be obsessed with smth.;быть одержимым чем-л.;phrase;;;Some husbands or wives can be obsessed with work, spending as much as 50 hours a week away from home.;LANGUAGE COURSES, work
be off one's rocker;быть чокнутым, с приветом;phrase;;;I always said he was off his rocker.;HARRY POTTER AND THE SORCERER'S STONE (book), idioms
be on friendly terms with smb.;быть в дружбе с кем-л.;phrase;;be friends with smb.;Hamees is on friendly terms with a tribe of Mazitu who say that they have given up killing people.;LANGUAGE COURSES, relationship
be on sick leave;быть на больничном;phrase;;;I'm afraid he will be on sick leave at least until the end of the month.;LANGUAGE COURSES, medicine, work
be on strike;бастовать;phrase;;;Bus drivers are on strike until the unions can agree a new pay deal.;LANGUAGE COURSES, work
be passionate about smth.;очень сильно любить делать что-л.;phrase;ˈpæʃ(ə)nət;;Joe is passionate about baseball.;LANGUAGE COURSES, work
be promoted;продвигаться по карьерной лестнице (to be raised to a higher or more important position or rank);phrase;;;She's just been promoted to senior sales rep.;LANGUAGE COURSES, work
berk;(slang) болван, дурак (a stupid person who is easy to take advantage of);noun;;dope, dunderhead, wally;You mean 999... That's the American one! You berk!;IT CROWD, odd people
berserk;исступлённый, обезумевший, яростный;adjective;bɜːˈsɜːk;;The shouting and the echoes seemed to be driving the troll berserk.;HARRY POTTER AND THE SORCERER'S STONE (book)
be set in;разворачиваться, происходить (о действии книги, фильма или спектакля);phrase;;;The film is set in Africa. | The novel is set in London in the 1960s.;films, LANGUAGE COURSES
beside oneself with smth.;вне себя от чего-л. (горя, волнения);phrase;;;They hurried up the street, the Grangers shaking with fright and Mrs. Weasley beside herself with fury.[Мистер и миссис Грэйнджеры дрожали от страха, а миссис Уизли кипела от ярости.];HARRY POTTER AND THE CHAMBER OF SECRETS (book), idioms
besiege;осаждать, обложить, окружить;verb;;beleaguer, surround;;battle
be through with;"покончить; закончить";phrase;;;I'm through with that pig.;phrasal verbs, THE CATCHER IN THE RYE (book), самые сложные слова
betray;изменять, предавать, продавать;verb;;give away, tell on smb.;He couldn't betray his master's trust.;REPEATING
be under the weather;недомогать (to feel ill);phrase;;;He wouldn't be under the weather today if he hadn't overworked, but he is all right now.;idioms, INTERNET, medicine
be up to;"1) замышлять что-л. недоброе; 2) зависеть от (кого-л.)";phrase;;;But how can I look without Quirrell realizing what I'm up to? | Hanging around like this, people will think you're up to something.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
bewilder;"смущать; озадачивать, ставить в тупик; сбивать с толку";verb;;confuse, embarrass;;самые сложные слова, сложные слова
bewitch;"1) заколдовывать (cast a spell over someone or something); 2) очаровывать; пленять";verb;;captivate, charm, entrance, fascinate, jinx;It's bewitched to look like the sky outside.;HARRY POTTER AND THE SORCERER'S STONE (book)
biased;необъективный, предвзятый, пристрастный;adjective;ˈbaɪəst;;"""Remember, don't be biased"", said the judge to the jury. | The idea of overtaking Slytherin in the house championship was wonderful, no one had done it for seven years, but would they be allowed to, with such a biased referee?";HARRY POTTER AND THE SORCERER'S STONE (book), traits
bicker;пререкаться, спорить (argue over petty things);verb;;squabble;;сложные слова
bizarre;странный, причудливый, эксцентричный;adjective;;eccentric, freak, strange;;traits
blackmail;"шантажировать; вымогать деньги";verb;;;They used the photographs to blackmail her into spying for them.;LANGUAGE COURSES
blame;"порицать, обвинять; считать виновным";verb;;accuse, charge;;
bland;банальный, обыденный, безликий, примитивный;adjective;;;Pop music these days is so bland.;LANGUAGE COURSES
blast;"сильный порыв ветра; искусственный поток воздуха (a strong current of air)";noun;;;Madam Hooch gave a loud blast on her silver whistle.;HARRY POTTER AND THE SORCERER'S STONE (book)
blasted;"проклятый; чертовский";adjective;ˈblæstɪd;flipping, goddam, helluva;"""Blasted thing,"" Snape was saying.";HARRY POTTER AND THE SORCERER'S STONE (book)
blimey;чтоб мне провалиться!, иди ты! (an expression of surprise);interjection;ˈblaɪmɪ;;Even - blimey - Dumbledore's come to watch!;HARRY POTTER AND THE SORCERER'S STONE (book)
blink;"1) моргать; 2) щуриться";verb;;twinkle;One wild cart ride later they stood blinking in the sunlight outside Gringotts.;glance, HARRY POTTER AND THE SORCERER'S STONE (book)
bloodcurdling;"чудовищный; вызывающий леденящий кровь ужас (extremely alarming)";adjective;;;A piercing, bloodcurdling shriek split the silence - the book was screaming!;fear, HARRY POTTER AND THE SORCERER'S STONE (book), violence, самые сложные слова
blot;"пачкать; пятнать; бесчестить";verb;;smudge, spot, stain;;
blow up;взрывать (cause to burst with a violent release of energy);phrase;;explode;"""Blown up a toilet? We've never blown up a toilet.""";arms, HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
blub;плакать, рыдать (to cry in a noisy way like a child);verb;;sniffle, snivel;She's blubbing behind the gym.;sounds, THE SILVER CHAIR (book) 
blue;"1) синий, голубой; 2) испуганный; подавленный, унылый; грустный (feeling or showing sadness)";adjective;;cheerless, dingy, dreary, gloomy, glum, grim, melancholy, mournful, sombre;He's been a bit blue since he failed his exams.;appearance, colors
bluebell;колокольчик (цветок);noun;;;She whipped out her wand, waved it, muttered something, and sent a jet of the same bluebell flames she had used on Snape at the plant.;HARRY POTTER AND THE SORCERER'S STONE (book), plants
blush;"1) краснеть; 2) разрумяниться, заливаться румянцем";verb;;flush, redden;;appearance
boa constrictor;удав;noun;;;The boa constrictor jabbed its tail at the sign again.;animals, HARRY POTTER AND THE SORCERER'S STONE (book)
boar;"хряк; боров; кабан";noun;;;;animals
boast;хвастать(ся);verb;bəʊst;brag;;сложные слова
boat;"1) лодка; корабль; судно; 2) соусник";noun;;;"A hundred fat, roast turkeys; mountains of roast and boiled potatoes; platters of chipolatas; tureens of buttered peas, silver boats of thick, rich gravy and cranberry sauce - and stacks of wizard crackers every few feet along the table.";HARRY POTTER AND THE SORCERER'S STONE (book), tableware
bob;"1) качаться; 2) подскакивать; подпрыгивать";verb;;;A toothless old man came ambling up to them, pointing, with a rather wicked grin, at an old rowboat bobbing in the iron-gray water below them. | He turned and started back toward the castle, his lamp bobbing away in the darkness.;HARRY POTTER AND THE SORCERER'S STONE (book)
boil;"нарыв; фурункул";noun;;;Within seconds, the whole class was standing on their stools while Neville, who had been drenched in the potion when the cauldron collapsed, moaned in pain as angry red boils sprang up all over his arms and legs.;HARRY POTTER AND THE SORCERER'S STONE (book)
bold;"1) бесстрашный, самоуверенный (fearless and daring); 2) наглый, дерзкий, бесстыдный";adjective;;brave, daring;Harry Potter is valiant and bold! He has braved so many dangers already!;traits
bolt;"1) быстро двигаться; нестись стрелой, убегать; 2) глотать не разжёвывая; запихивать в рот пищу кусками и с большой скоростью";verb;;devour, wolf down;Harry bolted to the door and looked out. | He bolted his dinner that evening without noticing what he was eating.;eat, HARRY POTTER AND THE SORCERER'S STONE (book), moving (verbs)
bond;связь, узы (a close connection joining two or more people);noun;;;They are very different from each other, but share a common bond in their friendship and loyalty.;LANGUAGE COURSES, relationship
